"Season","Name","Team","Pos","Inn","DRS","OAA","E","playerid"
"2020","Evan Longoria","SFG","3B","426.2","2","5","2","9368"
"2020","Jonathan Schoop","DET","2B","355.2","1","5","1","11265"
"2018","Whit Merrifield","KCR","2B","933.2","0","6","6","11281"
"2015","Logan Forsythe","TBR","2B","1073.1","0","","7","7185"
"2017","Robinson Cano","SEA","2B","1286.2","-6","-3","10","3269"
"2022","Isiah Kiner-Falefa","NYY","SS","1185.0","10","-2","15","16512"
"2018","Alex Bregman","HOU","3B","1173.2","5","0","13","17678"
"2019","Mookie Betts","BOS","RF","1129.1","19","5","1","13611"
"2017","Starlin Castro","NYY","2B","936.0","-6","5","11","4579"
"2016","Gregory Polanco","PIT","RF","906.2","3","4","5","12907"
"2015","Kyle Seager","SEA","3B","1421.0","10","","16","9785"
"2016","Cameron Rupp","PHI","C","911.1","-11","","5","11146"
"2022","Mookie Betts","LAD","RF","1154.1","15","4","2","13611"
"2022","Cody Bellinger","LAD","CF","1223.0","0","6","3","15998"
"2022","Brendan Rodgers","COL","2B","1168.1","22","3","10","17907"
"2017","Dansby Swanson","ATL","SS","1202.0","-4","-5","20","18314"
"2021","Yoan Moncada","CHW","3B","1182.1","3","0","16","17232"
"2015","Wilson Ramos","WSN","C","1078.1","10","","6","1433"
"2018","Jose Iglesias","DET","SS","1055.1","0","-1","8","10231"
"2022","Marcus Semien","TEX","2B","1293.0","11","8","7","12533"
"2017","Aaron Judge","NYY","RF","1238.2","8","8","5","15640"
"2017","Justin Turner","LAD","3B","1000.0","4","3","8","5235"
"2017","Jorge Polanco","MIN","SS","1119.2","-8","1","18","13152"
"2021","Bo Bichette","TOR","SS","1271.1","2","-5","24","19612"
"2019","Tony Wolters","COL","C","904.1","9","","1","11470"
"2019","Jose Altuve","HOU","2B","1023.2","-1","4","11","5417"
"2021","Willson Contreras","CHC","C","935.2","8","","7","11609"
"2019","Kyle Seager","SEA","3B","909.2","8","3","11","9785"
"2016","Jake Lamb","ARI","3B","1186.1","-5","4","20","13329"
"2022","Cedric Mullins II","BAL","CF","1259.2","5","8","0","17929"
"2022","Jake Cronenworth","SDP","2B","1239.2","2","4","4","18036"
"2016","Jason Heyward","CHC","RF","1029.2","12","11","2","4940"
