Rk,Coach,Yrs,From,To,G,W,L,T,W-L%â–¼,G > .500,Yr plyf,G plyf,W plyf,L plyf,W-L%,AvRk,BstRk,Chmp,SBwl,Conf
182,Marion Campbell,9,1974,1989,115,34,80,1,0.3,-46,0,0,0,0,,3.9,3,0,0,0
183,Joe Bugel,5,1990,1997,80,24,56,0,0.3,-32,0,0,0,0,,4.6,4,0,0,0
184,Dave McGinnis,4,2000,2003,57,17,40,0,0.298,-23,0,0,0,0,,4.3,4,0,0,0
185,Pat Shurmur,5,2011,2019,65,19,46,0,0.292,-27,0,0,0,0,,3.4,2,0,0,0
186,Jimmy Phelan,4,1948,1952,50,13,35,2,0.271,-22,0,0,0,0,,5,3,0,0,0
187,David Shula,5,1992,1996,71,19,52,0,0.268,-33,0,0,0,0,,3.4,3,0,0,0
188,Gus Bradley,4,2013,2016,62,14,48,0,0.226,-34,0,0,0,0,,3.3,3,0,0,0
189,Steve Spagnuolo,4,2009,2017,52,11,41,0,0.212,-30,0,0,0,0,,3.5,2,0,0,0
190,Hue Jackson,4,2011,2018,56,11,44,1,0.205,-33,0,0,0,0,,3.5,3,0,0,0
191,Bert Bell+,6,1936,1941,58,10,46,2,0.179,-36,0,0,0,0,,4.7,4,0,0,0
